Nom de zone;Nom usuel;Plancher;Plafond;Nb sommets;Contient un arc (limite circulaire densifiée);Liste de coordonnées (telle que publiée, source openAIP/AIP)
R139A;CHER SUD;800ft AGL;3000ft AMSL;204;Oui;"46°36'20.02""N , 2°28'18.01""E - 46°44'34.01""N , 2°41'47""E - 46°44'33.5""N , 2°41'40.94""E - 46°44'33.01""N , 2°41'34.86""E - 46°44'32.54""N , 2°41'28.79""E - 46°44'32.08""N , 2°41'22.71""E - 46°44'31.65""N , 2°41'16.63""E - 46°44'31.23""N , 2°41'10.55""E - 46°44'30.83""N , 2°41'4.47""E - 46°44'30.44""N , 2°40'58.38""E - 46°44'30.08""N , 2°40'52.29""E - 46°44'29.73""N , 2°40'46.2""E - 46°44'29.4""N , 2°40'40.11""E - 46°44'29.09""N , 2°40'34.01""E - 46°44'28.79""N , 2°40'27.92""E - 46°44'28.51""N , 2°40'21.82""E - 46°44'28.25""N , 2°40'15.72""E - 46°44'28""N , 2°40'9.62""E - 46°44'27.77""N , 2°40'3.52""E - 46°44'27.56""N , 2°39'57.42""E - 46°44'27.37""N , 2°39'51.31""E - 46°44'27.18""N , 2°39'45.21""E - 46°44'27.02""N , 2°39'39.1""E - 46°44'26.87""N , 2°39'32.99""E - 46°44'26.74""N , 2°39'26.89""E - 46°44'26.62""N , 2°39'20.78""E - 46°44'26.52""N , 2°39'14.67""E - 46°44'26.43""N , 2°39'8.56""E - 46°44'26.36""N , 2°39'2.46""E - 46°44'26.3""N , 2°38'56.35""E - 46°44'26.26""N , 2°38'50.24""E - 46°44'26.23""N , 2°38'44.13""E - 46°44'26.22""N , 2°38'38.03""E - 46°44'26.22""N , 2°38'31.92""E - 46°44'26.24""N , 2°38'25.81""E - 46°44'26.27""N , 2°38'19.7""E - 46°44'26.31""N , 2°38'13.6""E - 46°44'26.37""N , 2°38'7.49""E - 46°44'26.44""N , 2°38'1.38""E - 46°44'26.53""N , 2°37'55.28""E - 46°44'26.63""N , 2°37'49.17""E - 46°44'26.74""N , 2°37'43.07""E - 46°44'26.87""N , 2°37'36.97""E - 46°44'27.01""N , 2°37'30.86""E - 46°44'27.16""N , 2°37'24.76""E - 46°44'27.33""N , 2°37'18.66""E - 46°44'27.5""N , 2°37'12.56""E - 46°44'27.69""N , 2°37'6.46""E - 46°44'27.9""N , 2°37'0.36""E - 46°44'28.11""N , 2°36'54.27""E - 46°44'28.34""N , 2°36'48.17""E - 46°44'28.58""N , 2°36'42.08""E - 46°44'28.83""N , 2°36'35.98""E - 46°44'29.1""N , 2°36'29.89""E - 46°44'29.38""N , 2°36'23.8""E - 46°44'29.68""N , 2°36'17.71""E - 46°44'29.99""N , 2°36'11.62""E - 46°44'30.33""N , 2°36'5.54""E - 46°44'30.67""N , 2°35'59.45""E - 46°44'31.03""N , 2°35'53.37""E - 46°44'31.4""N , 2°35'47.29""E - 46°44'31.79""N , 2°35'41.21""E - 46°44'32.2""N , 2°35'35.13""E - 46°44'32.62""N , 2°35'29.06""E - 46°44'33.05""N , 2°35'22.98""E - 46°44'33.5""N , 2°35'16.92""E - 46°44'33.97""N , 2°35'10.85""E - 46°44'34.45""N , 2°35'4.78""E - 46°44'34.95""N , 2°34'58.72""E - 46°44'35.46""N , 2°34'52.66""E - 46°44'35.99""N , 2°34'46.6""E - 46°44'36.53""N , 2°34'40.55""E - 46°44'37.09""N , 2°34'34.5""E - 46°44'37.66""N , 2°34'28.45""E - 46°44'38.25""N , 2°34'22.41""E - 46°44'38.85""N , 2°34'16.36""E - 46°44'39.47""N , 2°34'10.33""E - 46°44'40.1""N , 2°34'4.29""E - 46°44'40.75""N , 2°33'58.26""E - 46°44'41.41""N , 2°33'52.23""E - 46°44'42.09""N , 2°33'46.21""E - 46°44'42.78""N , 2°33'40.18""E - 46°44'43.49""N , 2°33'34.17""E - 46°44'44.21""N , 2°33'28.15""E - 46°44'44.95""N , 2°33'22.14""E - 46°44'45.7""N , 2°33'16.14""E - 46°44'46.47""N , 2°33'10.13""E - 46°44'47.26""N , 2°33'4.14""E - 46°44'48.06""N , 2°32'58.14""E - 46°44'48.87""N , 2°32'52.16""E - 46°44'49.7""N , 2°32'46.17""E - 46°44'50.54""N , 2°32'40.19""E - 46°44'51.4""N , 2°32'34.21""E - 46°44'52.27""N , 2°32'28.24""E - 46°44'53.16""N , 2°32'22.28""E - 46°44'54.06""N , 2°32'16.31""E - 46°44'54.98""N , 2°32'10.36""E - 46°44'55.91""N , 2°32'4.41""E - 46°44'56.86""N , 2°31'58.46""E - 46°44'57.82""N , 2°31'52.51""E - 46°44'58.8""N , 2°31'46.58""E - 46°44'59.79""N , 2°31'40.65""E - 46°45'0.8""N , 2°31'34.72""E - 46°45'1.82""N , 2°31'28.8""E - 46°45'2.86""N , 2°31'22.88""E - 46°45'3.91""N , 2°31'16.97""E - 46°45'4.98""N , 2°31'11.07""E - 46°45'6.06""N , 2°31'5.17""E - 46°45'7.16""N , 2°30'59.27""E - 46°45'8.27""N , 2°30'53.39""E - 46°45'9.39""N , 2°30'47.51""E - 46°45'10.53""N , 2°30'41.63""E - 46°45'11.69""N , 2°30'35.76""E - 46°45'12.86""N , 2°30'29.9""E - 46°45'14.04""N , 2°30'24.04""E - 46°45'15.24""N , 2°30'18.19""E - 46°45'16.46""N , 2°30'12.35""E - 46°45'17.68""N , 2°30'6.51""E - 46°45'18.93""N , 2°30'0.68""E - 46°45'20.19""N , 2°29'54.86""E - 46°45'21.46""N , 2°29'49.04""E - 46°45'22.74""N , 2°29'43.23""E - 46°45'24.04""N , 2°29'37.42""E - 46°45'25.36""N , 2°29'31.62""E - 46°45'26.69""N , 2°29'25.84""E - 46°45'28.03""N , 2°29'20.05""E - 46°45'29.39""N , 2°29'14.28""E - 46°45'30.77""N , 2°29'8.51""E - 46°45'32.16""N , 2°29'2.75""E - 46°45'33.56""N , 2°28'56.99""E - 46°45'34.97""N , 2°28'51.25""E - 46°45'36.41""N , 2°28'45.51""E - 46°45'37.85""N , 2°28'39.78""E - 46°45'39.31""N , 2°28'34.05""E - 46°45'40.78""N , 2°28'28.34""E - 46°45'42.27""N , 2°28'22.63""E - 46°45'43.78""N , 2°28'16.93""E - 46°45'45.3""N , 2°28'11.24""E - 46°45'46.83""N , 2°28'5.55""E - 46°45'48.37""N , 2°27'59.88""E - 46°45'49.93""N , 2°27'54.21""E - 46°45'51.51""N , 2°27'48.55""E - 46°45'53.09""N , 2°27'42.9""E - 46°45'54.69""N , 2°27'37.26""E - 46°45'56.31""N , 2°27'31.63""E - 46°45'57.94""N , 2°27'26""E - 46°45'59.59""N , 2°27'20.38""E - 46°46'1.25""N , 2°27'14.78""E - 46°46'2.92""N , 2°27'9.18""E - 46°46'4.61""N , 2°27'3.59""E - 46°46'6.3""N , 2°26'58.01""E - 46°46'8.02""N , 2°26'52.44""E - 46°46'9.75""N , 2°26'46.87""E - 46°46'11.49""N , 2°26'41.32""E - 46°46'13.25""N , 2°26'35.78""E - 46°46'15.02""N , 2°26'30.24""E - 46°46'16.8""N , 2°26'24.72""E - 46°46'18.6""N , 2°26'19.2""E - 46°46'20.41""N , 2°26'13.69""E - 46°46'22.24""N , 2°26'8.2""E - 46°46'24.08""N , 2°26'2.71""E - 46°46'25.93""N , 2°25'57.23""E - 46°46'27.8""N , 2°25'51.77""E - 46°46'29.68""N , 2°25'46.31""E - 46°46'31.57""N , 2°25'40.86""E - 46°46'33.48""N , 2°25'35.43""E - 46°46'35.4""N , 2°25'30""E - 46°46'37.33""N , 2°25'24.58""E - 46°46'39.28""N , 2°25'19.17""E - 46°46'41.24""N , 2°25'13.78""E - 46°46'43.22""N , 2°25'8.39""E - 46°46'45.21""N , 2°25'3.02""E - 46°46'47.21""N , 2°24'57.65""E - 46°46'49.23""N , 2°24'52.3""E - 46°46'51.25""N , 2°24'46.95""E - 46°46'53.3""N , 2°24'41.62""E - 46°46'55.35""N , 2°24'36.3""E - 46°46'57.42""N , 2°24'30.99""E - 46°46'59.51""N , 2°24'25.69""E - 46°47'1.6""N , 2°24'20.4""E - 46°47'3.71""N , 2°24'15.13""E - 46°47'5.83""N , 2°24'9.86""E - 46°47'7.97""N , 2°24'4.61""E - 46°47'10.11""N , 2°23'59.36""E - 46°47'12.28""N , 2°23'54.13""E - 46°47'14.45""N , 2°23'48.91""E - 46°47'16.64""N , 2°23'43.7""E - 46°47'18.84""N , 2°23'38.5""E - 46°47'21.06""N , 2°23'33.32""E - 46°47'23.28""N , 2°23'28.15""E - 46°47'25.52""N , 2°23'22.98""E - 46°47'27.77""N , 2°23'17.84""E - 46°47'30.04""N , 2°23'12.7""E - 46°47'32.32""N , 2°23'7.57""E - 46°47'34.61""N , 2°23'2.46""E - 46°47'36.91""N , 2°22'57.36""E - 46°47'39.23""N , 2°22'52.27""E - 46°47'41.56""N , 2°22'47.19""E - 46°47'43.9""N , 2°22'42.13""E - 46°47'46.25""N , 2°22'37.08""E - 46°47'48.62""N , 2°22'32.04""E - 46°47'51""N , 2°22'27.01""E - 46°42'56.99""N , 2°14'57.98""E - 46°36'20.02""N , 2°28'18.01""E"
R139B;CHER NORD;800ft AGL;3000ft AMSL;208;Oui;"47°4'14.99""N , 2°58'35""E - 47°2'29""N , 2°49'18.01""E - 47°0'20.02""N , 2°49'35""E - 46°56'26.02""N , 2°47'15""E - 46°55'3""N , 2°33'29.02""E - 46°47'51""N , 2°22'27.01""E - 46°47'48.62""N , 2°22'32.04""E - 46°47'46.25""N , 2°22'37.07""E - 46°47'43.89""N , 2°22'42.12""E - 46°47'41.54""N , 2°22'47.17""E - 46°47'39.2""N , 2°22'52.24""E - 46°47'36.86""N , 2°22'57.31""E - 46°47'34.54""N , 2°23'2.4""E - 46°47'32.23""N , 2°23'7.5""E - 46°47'29.94""N , 2°23'12.6""E - 46°47'27.65""N , 2°23'17.72""E - 46°47'25.37""N , 2°23'22.85""E - 46°47'23.11""N , 2°23'27.99""E - 46°47'20.85""N , 2°23'33.14""E - 46°47'18.61""N , 2°23'38.3""E - 46°47'16.38""N , 2°23'43.47""E - 46°47'14.16""N , 2°23'48.65""E - 46°47'11.95""N , 2°23'53.84""E - 46°47'9.76""N , 2°23'59.05""E - 46°47'7.57""N , 2°24'4.27""E - 46°47'5.4""N , 2°24'9.49""E - 46°47'3.25""N , 2°24'14.73""E - 46°47'1.1""N , 2°24'19.98""E - 46°46'58.97""N , 2°24'25.24""E - 46°46'56.85""N , 2°24'30.51""E - 46°46'54.74""N , 2°24'35.79""E - 46°46'52.64""N , 2°24'41.09""E - 46°46'50.56""N , 2°24'46.39""E - 46°46'48.5""N , 2°24'51.71""E - 46°46'46.44""N , 2°24'57.04""E - 46°46'44.4""N , 2°25'2.38""E - 46°46'42.38""N , 2°25'7.73""E - 46°46'40.37""N , 2°25'13.09""E - 46°46'38.37""N , 2°25'18.47""E - 46°46'36.39""N , 2°25'23.85""E - 46°46'34.42""N , 2°25'29.25""E - 46°46'32.46""N , 2°25'34.66""E - 46°46'30.52""N , 2°25'40.08""E - 46°46'28.6""N , 2°25'45.51""E - 46°46'26.69""N , 2°25'50.96""E - 46°46'24.8""N , 2°25'56.41""E - 46°46'22.92""N , 2°26'1.88""E - 46°46'21.05""N , 2°26'7.35""E - 46°46'19.21""N , 2°26'12.84""E - 46°46'17.38""N , 2°26'18.34""E - 46°46'15.56""N , 2°26'23.86""E - 46°46'13.76""N , 2°26'29.38""E - 46°46'11.98""N , 2°26'34.92""E - 46°46'10.21""N , 2°26'40.46""E - 46°46'8.46""N , 2°26'46.02""E - 46°46'6.73""N , 2°26'51.59""E - 46°46'5.02""N , 2°26'57.17""E - 46°46'3.31""N , 2°27'2.75""E - 46°46'1.62""N , 2°27'8.35""E - 46°45'59.95""N , 2°27'13.96""E - 46°45'58.29""N , 2°27'19.57""E - 46°45'56.64""N , 2°27'25.19""E - 46°45'55.01""N , 2°27'30.83""E - 46°45'53.39""N , 2°27'36.46""E - 46°45'51.79""N , 2°27'42.12""E - 46°45'50.2""N , 2°27'47.77""E - 46°45'48.62""N , 2°27'53.44""E - 46°45'47.06""N , 2°27'59.11""E - 46°45'45.51""N , 2°28'4.8""E - 46°45'43.98""N , 2°28'10.49""E - 46°45'42.46""N , 2°28'16.19""E - 46°45'40.96""N , 2°28'21.89""E - 46°45'39.47""N , 2°28'27.61""E - 46°45'37.99""N , 2°28'33.33""E - 46°45'36.53""N , 2°28'39.06""E - 46°45'35.08""N , 2°28'44.8""E - 46°45'33.65""N , 2°28'50.55""E - 46°45'32.23""N , 2°28'56.3""E - 46°45'30.82""N , 2°29'2.06""E - 46°45'29.43""N , 2°29'7.83""E - 46°45'28.06""N , 2°29'13.6""E - 46°45'26.7""N , 2°29'19.38""E - 46°45'25.35""N , 2°29'25.18""E - 46°45'24.02""N , 2°29'30.97""E - 46°45'22.7""N , 2°29'36.78""E - 46°45'21.4""N , 2°29'42.59""E - 46°45'20.11""N , 2°29'48.41""E - 46°45'18.84""N , 2°29'54.23""E - 46°45'17.58""N , 2°30'0.06""E - 46°45'16.33""N , 2°30'5.9""E - 46°45'15.11""N , 2°30'11.75""E - 46°45'13.89""N , 2°30'17.6""E - 46°45'12.69""N , 2°30'23.45""E - 46°45'11.5""N , 2°30'29.32""E - 46°45'10.33""N , 2°30'35.19""E - 46°45'9.18""N , 2°30'41.07""E - 46°45'8.03""N , 2°30'46.95""E - 46°45'6.9""N , 2°30'52.84""E - 46°45'5.79""N , 2°30'58.73""E - 46°45'4.7""N , 2°31'4.63""E - 46°45'3.61""N , 2°31'10.54""E - 46°45'2.55""N , 2°31'16.45""E - 46°45'1.49""N , 2°31'22.37""E - 46°45'0.45""N , 2°31'28.29""E - 46°44'59.43""N , 2°31'34.22""E - 46°44'58.42""N , 2°31'40.15""E - 46°44'57.43""N , 2°31'46.09""E - 46°44'56.45""N , 2°31'52.04""E - 46°44'55.49""N , 2°31'57.99""E - 46°44'54.54""N , 2°32'3.94""E - 46°44'53.6""N , 2°32'9.9""E - 46°44'52.68""N , 2°32'15.86""E - 46°44'51.78""N , 2°32'21.83""E - 46°44'50.89""N , 2°32'27.81""E - 46°44'50.01""N , 2°32'33.79""E - 46°44'49.16""N , 2°32'39.77""E - 46°44'48.31""N , 2°32'45.76""E - 46°44'47.48""N , 2°32'51.75""E - 46°44'46.67""N , 2°32'57.75""E - 46°44'45.87""N , 2°33'3.75""E - 46°44'45.09""N , 2°33'9.75""E - 46°44'44.31""N , 2°33'15.76""E - 46°44'43.56""N , 2°33'21.78""E - 46°44'42.82""N , 2°33'27.79""E - 46°44'42.1""N , 2°33'33.81""E - 46°44'41.39""N , 2°33'39.84""E - 46°44'40.69""N , 2°33'45.87""E - 46°44'40.02""N , 2°33'51.9""E - 46°44'39.35""N , 2°33'57.93""E - 46°44'38.7""N , 2°34'3.98""E - 46°44'38.07""N , 2°34'10.02""E - 46°44'37.45""N , 2°34'16.06""E - 46°44'36.85""N , 2°34'22.11""E - 46°44'36.26""N , 2°34'28.17""E - 46°44'35.69""N , 2°34'34.22""E - 46°44'35.13""N , 2°34'40.28""E - 46°44'34.59""N , 2°34'46.34""E - 46°44'34.06""N , 2°34'52.41""E - 46°44'33.55""N , 2°34'58.47""E - 46°44'33.05""N , 2°35'4.54""E - 46°44'32.57""N , 2°35'10.62""E - 46°44'32.1""N , 2°35'16.69""E - 46°44'31.65""N , 2°35'22.77""E - 46°44'31.21""N , 2°35'28.85""E - 46°44'30.79""N , 2°35'34.93""E - 46°44'30.39""N , 2°35'41.01""E - 46°44'30""N , 2°35'47.1""E - 46°44'29.62""N , 2°35'53.19""E - 46°44'29.26""N , 2°35'59.28""E - 46°44'28.92""N , 2°36'5.37""E - 46°44'28.59""N , 2°36'11.46""E - 46°44'28.27""N , 2°36'17.56""E - 46°44'27.97""N , 2°36'23.66""E - 46°44'27.69""N , 2°36'29.75""E - 46°44'27.42""N , 2°36'35.86""E - 46°44'27.17""N , 2°36'41.96""E - 46°44'26.93""N , 2°36'48.06""E - 46°44'26.71""N , 2°36'54.16""E - 46°44'26.5""N , 2°37'0.27""E - 46°44'26.31""N , 2°37'6.37""E - 46°44'26.13""N , 2°37'12.48""E - 46°44'25.97""N , 2°37'18.59""E - 46°44'25.83""N , 2°37'24.7""E - 46°44'25.7""N , 2°37'30.81""E - 46°44'25.58""N , 2°37'36.92""E - 46°44'25.48""N , 2°37'43.03""E - 46°44'25.39""N , 2°37'49.14""E - 46°44'25.32""N , 2°37'55.25""E - 46°44'25.27""N , 2°38'1.37""E - 46°44'25.23""N , 2°38'7.48""E - 46°44'25.21""N , 2°38'13.59""E - 46°44'25.2""N , 2°38'19.7""E - 46°44'25.21""N , 2°38'25.81""E - 46°44'25.23""N , 2°38'31.93""E - 46°44'25.26""N , 2°38'38.04""E - 46°44'25.32""N , 2°38'44.15""E - 46°44'25.39""N , 2°38'50.27""E - 46°44'25.47""N , 2°38'56.37""E - 46°44'25.57""N , 2°39'2.49""E - 46°44'25.68""N , 2°39'8.6""E - 46°44'25.81""N , 2°39'14.71""E - 46°44'25.95""N , 2°39'20.82""E - 46°44'26.12""N , 2°39'26.92""E - 46°44'26.29""N , 2°39'33.03""E - 46°44'26.48""N , 2°39'39.14""E - 46°44'26.69""N , 2°39'45.24""E - 46°44'26.91""N , 2°39'51.35""E - 46°44'27.15""N , 2°39'57.45""E - 46°44'27.39""N , 2°40'3.55""E - 46°44'27.66""N , 2°40'9.65""E - 46°44'27.95""N , 2°40'15.75""E - 46°44'28.24""N , 2°40'21.85""E - 46°44'28.55""N , 2°40'27.94""E - 46°44'28.89""N , 2°40'34.04""E - 46°44'29.23""N , 2°40'40.13""E - 46°44'29.59""N , 2°40'46.22""E - 46°44'29.96""N , 2°40'52.31""E - 46°44'30.35""N , 2°40'58.4""E - 46°44'30.75""N , 2°41'4.48""E - 46°44'31.17""N , 2°41'10.56""E - 46°44'31.61""N , 2°41'16.64""E - 46°44'32.06""N , 2°41'22.72""E - 46°44'32.52""N , 2°41'28.8""E - 46°44'33""N , 2°41'34.87""E - 46°44'33.5""N , 2°41'40.94""E - 46°44'34.01""N , 2°41'47""E - 46°51'45""N , 2°53'39.98""E - 47°4'14.99""N , 2°58'35""E"
R142A;NIEVRES EST;800ft AGL;4500ft AMSL;9;Non;"47°4'37.99""N , 3°40'0.01""E - 47°21'59""N , 3°36'10.01""E - 47°16'50.99""N , 3°8'40.99""E - 47°15'41""N , 3°11'8.02""E - 47°11'21.98""N , 3°14'10""E - 47°7'17""N , 3°11'24""E - 47°6'27""N , 3°11'3.01""E - 47°8'4.99""N , 3°19'30""E - 47°4'37.99""N , 3°40'0.01""E"
R142B;NIEVRES OUEST;800ft AGL;2200ft AGL;10;Non;"47°11'30.01""N , 2°40'37.99""E - 47°6'40""N , 2°48'45""E - 47°2'29""N , 2°49'18.01""E - 47°4'14.99""N , 2°58'35""E - 47°6'27""N , 3°11'3.01""E - 47°7'17""N , 3°11'24""E - 47°11'21.98""N , 3°14'10""E - 47°15'41""N , 3°11'8.02""E - 47°16'50.99""N , 3°8'40.99""E - 47°11'30.01""N , 2°40'37.99""E"
R143;AUVERGNE;SFC;5500ft AMSL;12;Non;"46°10'40.01""N , 2°56'11""E - 46°15'34.99""N , 2°35'20""E - 46°6'0""N , 2°33'29.99""E - 46°6'0""N , 2°9'0""E - 45°58'45.01""N , 1°54'29.99""E - 45°49'59.99""N , 1°58'0.01""E - 45°49'3""N , 2°10'16""E - 45°42'46.01""N , 2°27'20.02""E - 45°43'40.01""N , 2°35'30.01""E - 45°44'49.99""N , 2°46'30""E - 45°57'20.99""N , 2°58'8""E - 46°10'40.01""N , 2°56'11""E"
R144A;LOIRE SUD;800ft AGL;4500ft AMSL;6;Non;"46°45'5""N , 3°4'59.99""E - 46°43'9.01""N , 3°2'1""E - 46°15'34.99""N , 2°35'20""E - 46°10'40.01""N , 2°56'11""E - 46°38'47""N , 3°17'22.99""E - 46°45'5""N , 3°4'59.99""E"
R144B;LOIRE NORD;800ft AGL;2000ft AGL;8;Non;"46°58'59.99""N , 3°22'59.99""E - 46°50'16.01""N , 3°13'37.99""E - 46°45'5""N , 3°4'59.99""E - 46°38'47""N , 3°17'22.99""E - 46°57'28.01""N , 3°40'0.01""E - 47°4'37.99""N , 3°40'0.01""E - 47°8'4.99""N , 3°19'30""E - 46°58'59.99""N , 3°22'59.99""E"
R145;INDRE;SFC;4500ft AMSL;5;Non;"46°30'41""N , 1°56'24""E - 46°28'53""N , 2°16'9.01""E - 46°36'20.02""N , 2°28'18.01""E - 46°42'56.99""N , 2°14'57.98""E - 46°30'41""N , 1°56'24""E"
R145A;CREUSE;SFC;5500ft AMSL;5;Non;"46°13'30""N , 1°48'15.01""E - 46°28'53""N , 2°16'9.01""E - 46°30'41""N , 1°56'24""E - 46°15'40""N , 1°34'45.01""E - 46°13'30""N , 1°48'15.01""E"
R147;CHARENTE;800ft AGL;1500ft AGL;9;Non;"46°25'0.01""N , 1°0'0""W - 46°39'59""N , 0°41'22.99""W - 46°39'0""N , 0°55'59.99""W - 46°33'0""N , 1°3'0""W - 46°32'12.01""N , 1°13'14.99""W - 46°42'47.02""N , 1°58'48""W - 46°33'24.01""N , 1°50'6""W - 46°25'0.01""N , 1°15'0""W - 46°25'0.01""N , 1°0'0""W"
R149A;ORLEANAIS;800ft AGL;2000ft AGL;6;Non;"47°56'48.98""N , 1°14'6""E - 47°55'41.02""N , 1°9'32""E - 47°51'2.02""N , 1°6'23""E - 47°22'36.98""N , 2°0'32""E - 47°28'45.01""N , 2°7'54.98""E - 47°56'48.98""N , 1°14'6""E"
