Nom de zone;Nom usuel;Plancher;Plafond;Nb sommets;Contient un arc (limite circulaire densifiée);Liste de coordonnées (telle que publiée, source openAIP/AIP)
R149B;BERRY;800ft AGL;3000ft AMSL;206;Oui;"47°28'45.01""N , 2°7'54.98""E - 47°22'36.98""N , 2°0'32""E - 47°15'0""N , 2°7'59.99""E - 47°6'32""N , 2°25'55.99""E - 47°6'33.86""N , 2°25'57""E - 47°6'35.71""N , 2°25'58.02""E - 47°6'37.56""N , 2°25'59.05""E - 47°6'39.41""N , 2°26'0.09""E - 47°6'41.26""N , 2°26'1.14""E - 47°6'43.1""N , 2°26'2.2""E - 47°6'44.94""N , 2°26'3.27""E - 47°6'46.78""N , 2°26'4.35""E - 47°6'48.61""N , 2°26'5.44""E - 47°6'50.44""N , 2°26'6.54""E - 47°6'52.27""N , 2°26'7.65""E - 47°6'54.1""N , 2°26'8.77""E - 47°6'55.92""N , 2°26'9.9""E - 47°6'57.74""N , 2°26'11.04""E - 47°6'59.56""N , 2°26'12.19""E - 47°7'1.37""N , 2°26'13.35""E - 47°7'3.18""N , 2°26'14.52""E - 47°7'4.99""N , 2°26'15.7""E - 47°7'6.8""N , 2°26'16.89""E - 47°7'8.6""N , 2°26'18.09""E - 47°7'10.4""N , 2°26'19.3""E - 47°7'12.2""N , 2°26'20.52""E - 47°7'13.99""N , 2°26'21.75""E - 47°7'15.78""N , 2°26'22.99""E - 47°7'17.57""N , 2°26'24.24""E - 47°7'19.35""N , 2°26'25.5""E - 47°7'21.13""N , 2°26'26.76""E - 47°7'22.91""N , 2°26'28.04""E - 47°7'24.68""N , 2°26'29.33""E - 47°7'26.45""N , 2°26'30.63""E - 47°7'28.22""N , 2°26'31.93""E - 47°7'29.99""N , 2°26'33.25""E - 47°7'31.75""N , 2°26'34.57""E - 47°7'33.51""N , 2°26'35.91""E - 47°7'35.26""N , 2°26'37.25""E - 47°7'37.01""N , 2°26'38.61""E - 47°7'38.76""N , 2°26'39.97""E - 47°7'40.5""N , 2°26'41.34""E - 47°7'42.25""N , 2°26'42.72""E - 47°7'43.98""N , 2°26'44.11""E - 47°7'45.72""N , 2°26'45.51""E - 47°7'47.45""N , 2°26'46.91""E - 47°7'49.18""N , 2°26'48.33""E - 47°7'50.9""N , 2°26'49.76""E - 47°7'52.62""N , 2°26'51.19""E - 47°7'54.34""N , 2°26'52.64""E - 47°7'56.05""N , 2°26'54.09""E - 47°7'57.76""N , 2°26'55.55""E - 47°7'59.47""N , 2°26'57.03""E - 47°8'1.17""N , 2°26'58.51""E - 47°8'2.87""N , 2°27'0""E - 47°8'4.57""N , 2°27'1.49""E - 47°8'6.26""N , 2°27'3""E - 47°8'7.95""N , 2°27'4.52""E - 47°8'9.63""N , 2°27'6.04""E - 47°8'11.31""N , 2°27'7.58""E - 47°8'12.99""N , 2°27'9.12""E - 47°8'14.66""N , 2°27'10.67""E - 47°8'16.33""N , 2°27'12.24""E - 47°8'18""N , 2°27'13.81""E - 47°8'19.66""N , 2°27'15.39""E - 47°8'21.31""N , 2°27'16.98""E - 47°8'22.97""N , 2°27'18.58""E - 47°8'24.62""N , 2°27'20.18""E - 47°8'26.26""N , 2°27'21.8""E - 47°8'27.9""N , 2°27'23.42""E - 47°8'29.54""N , 2°27'25.06""E - 47°8'31.17""N , 2°27'26.7""E - 47°8'32.8""N , 2°27'28.35""E - 47°8'34.43""N , 2°27'30.01""E - 47°8'36.05""N , 2°27'31.68""E - 47°8'37.66""N , 2°27'33.35""E - 47°8'39.27""N , 2°27'35.04""E - 47°8'40.88""N , 2°27'36.73""E - 47°8'42.49""N , 2°27'38.44""E - 47°8'44.09""N , 2°27'40.15""E - 47°8'45.68""N , 2°27'41.87""E - 47°8'47.27""N , 2°27'43.6""E - 47°8'48.86""N , 2°27'45.34""E - 47°8'50.44""N , 2°27'47.09""E - 47°8'52.02""N , 2°27'48.84""E - 47°8'53.59""N , 2°27'50.61""E - 47°8'55.16""N , 2°27'52.38""E - 47°8'56.73""N , 2°27'54.16""E - 47°8'58.29""N , 2°27'55.95""E - 47°8'59.84""N , 2°27'57.74""E - 47°9'1.39""N , 2°27'59.55""E - 47°9'2.94""N , 2°28'1.37""E - 47°9'4.48""N , 2°28'3.19""E - 47°9'6.02""N , 2°28'5.02""E - 47°9'7.55""N , 2°28'6.86""E - 47°9'9.08""N , 2°28'8.71""E - 47°9'10.61""N , 2°28'10.56""E - 47°9'12.12""N , 2°28'12.42""E - 47°9'13.64""N , 2°28'14.3""E - 47°9'15.15""N , 2°28'16.18""E - 47°9'16.65""N , 2°28'18.07""E - 47°9'18.15""N , 2°28'19.96""E - 47°9'19.65""N , 2°28'21.87""E - 47°9'21.14""N , 2°28'23.78""E - 47°9'22.63""N , 2°28'25.7""E - 47°9'24.11""N , 2°28'27.63""E - 47°9'25.58""N , 2°28'29.57""E - 47°9'27.05""N , 2°28'31.51""E - 47°9'28.52""N , 2°28'33.46""E - 47°9'29.98""N , 2°28'35.43""E - 47°9'31.44""N , 2°28'37.39""E - 47°9'32.89""N , 2°28'39.37""E - 47°9'34.34""N , 2°28'41.35""E - 47°9'35.78""N , 2°28'43.35""E - 47°9'37.22""N , 2°28'45.35""E - 47°9'38.65""N , 2°28'47.36""E - 47°9'40.08""N , 2°28'49.37""E - 47°9'41.5""N , 2°28'51.39""E - 47°9'42.92""N , 2°28'53.43""E - 47°9'44.33""N , 2°28'55.46""E - 47°9'45.73""N , 2°28'57.51""E - 47°9'47.13""N , 2°28'59.56""E - 47°9'48.53""N , 2°29'1.62""E - 47°9'49.92""N , 2°29'3.69""E - 47°9'51.31""N , 2°29'5.77""E - 47°9'52.69""N , 2°29'7.85""E - 47°9'54.06""N , 2°29'9.94""E - 47°9'55.44""N , 2°29'12.04""E - 47°9'56.8""N , 2°29'14.15""E - 47°9'58.16""N , 2°29'16.26""E - 47°9'59.52""N , 2°29'18.38""E - 47°10'0.87""N , 2°29'20.51""E - 47°10'2.21""N , 2°29'22.65""E - 47°10'3.55""N , 2°29'24.79""E - 47°10'4.88""N , 2°29'26.94""E - 47°10'6.21""N , 2°29'29.1""E - 47°10'7.53""N , 2°29'31.26""E - 47°10'8.85""N , 2°29'33.43""E - 47°10'10.16""N , 2°29'35.61""E - 47°10'11.47""N , 2°29'37.8""E - 47°10'12.77""N , 2°29'39.99""E - 47°10'14.07""N , 2°29'42.19""E - 47°10'15.36""N , 2°29'44.39""E - 47°10'16.64""N , 2°29'46.61""E - 47°10'17.92""N , 2°29'48.83""E - 47°10'19.19""N , 2°29'51.06""E - 47°10'20.46""N , 2°29'53.29""E - 47°10'21.72""N , 2°29'55.53""E - 47°10'22.98""N , 2°29'57.78""E - 47°10'24.23""N , 2°30'0.04""E - 47°10'25.47""N , 2°30'2.3""E - 47°10'26.71""N , 2°30'4.56""E - 47°10'27.95""N , 2°30'6.84""E - 47°10'29.18""N , 2°30'9.12""E - 47°10'30.4""N , 2°30'11.41""E - 47°10'31.62""N , 2°30'13.71""E - 47°10'32.83""N , 2°30'16.01""E - 47°10'34.03""N , 2°30'18.32""E - 47°10'35.23""N , 2°30'20.63""E - 47°10'36.43""N , 2°30'22.95""E - 47°10'37.61""N , 2°30'25.28""E - 47°10'38.79""N , 2°30'27.61""E - 47°10'39.97""N , 2°30'29.95""E - 47°10'41.14""N , 2°30'32.3""E - 47°10'42.31""N , 2°30'34.65""E - 47°10'43.46""N , 2°30'37.01""E - 47°10'44.62""N , 2°30'39.38""E - 47°10'45.76""N , 2°30'41.75""E - 47°10'46.91""N , 2°30'44.13""E - 47°10'48.04""N , 2°30'46.51""E - 47°10'49.17""N , 2°30'48.9""E - 47°10'50.29""N , 2°30'51.3""E - 47°10'51.41""N , 2°30'53.7""E - 47°10'52.52""N , 2°30'56.11""E - 47°10'53.63""N , 2°30'58.52""E - 47°10'54.72""N , 2°31'0.94""E - 47°10'55.82""N , 2°31'3.37""E - 47°10'56.91""N , 2°31'5.8""E - 47°10'57.99""N , 2°31'8.24""E - 47°10'59.06""N , 2°31'10.68""E - 47°11'0.13""N , 2°31'13.13""E - 47°11'1.19""N , 2°31'15.59""E - 47°11'2.25""N , 2°31'18.05""E - 47°11'3.3""N , 2°31'20.52""E - 47°11'4.34""N , 2°31'22.99""E - 47°11'5.38""N , 2°31'25.47""E - 47°11'6.41""N , 2°31'27.95""E - 47°11'7.44""N , 2°31'30.44""E - 47°11'8.46""N , 2°31'32.94""E - 47°11'9.47""N , 2°31'35.44""E - 47°11'10.48""N , 2°31'37.95""E - 47°11'11.48""N , 2°31'40.45""E - 47°11'12.47""N , 2°31'42.97""E - 47°11'13.46""N , 2°31'45.49""E - 47°11'14.44""N , 2°31'48.02""E - 47°11'15.42""N , 2°31'50.56""E - 47°11'16.39""N , 2°31'53.09""E - 47°11'17.35""N , 2°31'55.64""E - 47°11'18.3""N , 2°31'58.18""E - 47°11'19.26""N , 2°32'0.74""E - 47°11'20.2""N , 2°32'3.3""E - 47°11'21.14""N , 2°32'5.86""E - 47°11'22.07""N , 2°32'8.43""E - 47°11'22.99""N , 2°32'11""E - 47°13'25""N , 2°37'25""E - 47°28'45.01""N , 2°7'54.98""E"
R149D;VENDEE;800ft AGL;2200ft AGL;7;Non;"47°9'9""N , 1°11'51""W - 47°0'0""N , 1°15'0""W - 46°39'0""N , 0°55'59.99""W - 46°39'59""N , 0°41'22.99""W - 47°1'18.98""N , 1°3'47.99""W - 47°6'37.01""N , 1°1'52""W - 47°9'9""N , 1°11'51""W"
R149E;MAINE-ANJOU;800ft AGL;1800ft AGL;7;Non;"48°11'35.02""N , 0°57'14""W - 48°11'21.98""N , 1°9'6.01""W - 47°24'29.99""N , 1°6'29.99""W - 47°9'9""N , 1°11'51""W - 47°6'37.01""N , 1°1'52""W - 47°23'37""N , 0°55'46.99""W - 48°11'35.02""N , 0°57'14""W"
R152;ALSACE;800ft AGL;2800ft AGL;9;Non;"48°41'3.01""N , 6°41'16.01""E - 48°40'18.01""N , 6°33'47.99""E - 48°21'0""N , 6°37'59.99""E - 48°7'0.01""N , 6°27'0""E - 48°10'50.99""N , 5°47'21.98""E - 48°5'7.01""N , 5°59'21.98""E - 48°1'59.99""N , 6°31'0.01""E - 48°19'59.99""N , 6°46'0.01""E - 48°41'3.01""N , 6°41'16.01""E"
R165A;VIENNE SUD;800ft AGL;5500ft AMSL;5;Non;"45°49'59.99""N , 1°58'0.01""E - 46°4'59.99""N , 1°52'0.01""E - 46°2'10""N , 1°38'47""E - 45°48'0""N , 1°43'0.01""E - 45°49'59.99""N , 1°58'0.01""E"
R165B;VIENNE NORD;800ft AGL;5500ft AMSL;5;Non;"46°13'30""N , 1°48'15.01""E - 46°15'40""N , 1°34'45.01""E - 46°2'10""N , 1°38'47""E - 46°4'59.99""N , 1°52'0.01""E - 46°13'30""N , 1°48'15.01""E"
R166A1;GIRONDE SUD;800ft AGL;2500ft AMSL;8;Non;"44°30'55.01""N , 0°4'34""W - 44°27'41""N , 0°8'1""E - 44°52'0.01""N , 0°7'0.01""E - 44°58'25""N , 0°17'3.98""E - 45°7'58.01""N , 0°10'0.01""E - 44°58'0.01""N , 0°4'0.01""W - 44°31'59.99""N , 0°1'0.01""E - 44°30'55.01""N , 0°4'34""W"
R166A2;GIRONDE NORD;800ft AGL;4500ft AMSL;7;Non;"45°7'58.01""N , 0°10'0.01""E - 44°58'25""N , 0°17'3.98""E - 45°6'0""N , 0°28'59.99""E - 45°11'22.99""N , 0°31'57""E - 45°16'4.01""N , 0°21'41""E - 45°13'0.01""N , 0°19'0.01""E - 45°7'58.01""N , 0°10'0.01""E"
R166B;PERIGORD;SFC;4500ft AMSL;8;Non;"45°16'4.01""N , 0°21'41""E - 45°11'22.99""N , 0°31'57""E - 45°12'36""N , 0°32'37""E - 45°20'25.01""N , 0°41'26.99""E - 45°19'59.02""N , 1°25'9.98""E - 45°30'38.99""N , 1°18'6.01""E - 45°30'0""N , 0°34'0.01""E - 45°16'4.01""N , 0°21'41""E"
R166C;VEZERE;800ft AGL;FL065;8;Non;"45°30'38.99""N , 1°18'6.01""E - 45°19'59.02""N , 1°25'9.98""E - 45°22'59.99""N , 1°40'0.01""E - 45°47'21.01""N , 1°58'40.01""E - 45°49'59.99""N , 1°58'0.01""E - 45°48'0""N , 1°43'0.01""E - 45°52'17""N , 1°41'44.02""E - 45°30'38.99""N , 1°18'6.01""E"
R191A;HERAULT EST;800ft AGL;1500ft AMSL;5;Non;"43°18'20.02""N , 3°41'56""E - 43°15'10.01""N , 3°39'10.01""E - 43°15'10.01""N , 4°39'50""E - 43°18'20.02""N , 4°44'39.98""E - 43°18'20.02""N , 3°41'56""E"
R191B;;800ft AGL;2500ft AMSL;8;Non;"43°9'43.99""N , 3°8'30.01""E - 43°2'15""N , 3°9'38.99""E - 43°4'59.99""N , 3°24'0""E - 43°8'39.98""N , 3°29'25.01""E - 43°18'20.02""N , 3°41'56""E - 43°18'20.02""N , 3°33'50""E - 43°12'7.99""N , 3°27'22""E - 43°9'43.99""N , 3°8'30.01""E"
R191C;HERAULT NORD;800ft AGL;2500ft AMSL;7;Non;"43°39'10.01""N , 3°31'30""E - 43°18'20.02""N , 3°33'50""E - 43°18'20.02""N , 3°41'56""E - 43°23'44.99""N , 3°39'29.99""E - 43°39'29.99""N , 3°37'0.01""E - 43°41'13.99""N , 3°36'4""E - 43°39'10.01""N , 3°31'30""E"
R193A;TARN EST;800ft AGL;4400ft AMSL;7;Non;"43°52'59.99""N , 3°23'30.01""E - 43°39'10.01""N , 3°31'30""E - 43°41'13.99""N , 3°36'4""E - 43°42'0""N , 3°35'38""E - 43°53'30.01""N , 3°34'45.01""E - 43°56'8.02""N , 3°33'24.01""E - 43°52'59.99""N , 3°23'30.01""E"
R193B;TARN;800ft AGL;4200ft AMSL;6;Non;"44°3'29.99""N , 2°36'20.02""E - 43°54'0""N , 2°40'59.99""E - 43°39'10.01""N , 3°31'30""E - 43°52'59.99""N , 3°23'30.01""E - 43°50'34.01""N , 3°19'17""E - 44°3'29.99""N , 2°36'20.02""E"
R45A;BOURGOGNE;SFC;800ft AGL;5;Non;"47°38'3.98""N , 4°37'19.99""E - 47°43'28.99""N , 5°18'38.99""E - 47°52'27.98""N , 5°12'0""E - 47°46'5.99""N , 4°28'52""E - 47°38'3.98""N , 4°37'19.99""E"
R45B;AUTUNOIS;SFC;800ft AGL;12;Non;"47°12'43.99""N , 4°21'10.01""E - 47°11'49.99""N , 4°10'59.02""E - 47°21'27""N , 4°14'48.98""E - 47°23'7.01""N , 4°5'48.01""E - 47°29'17.02""N , 3°59'43.01""E - 47°21'59""N , 3°36'10.01""E - 47°4'37.99""N , 3°40'0.01""E - 47°0'47.02""N , 4°16'41.99""E - 46°45'6.98""N , 4°31'44""E - 46°48'55.01""N , 4°41'49.99""E - 47°8'11""N , 4°41'4.99""E - 47°12'43.99""N , 4°21'10.01""E"
R45C;ARBOIS;SFC;800ft AGL;12;Non;"47°9'55.01""N , 5°58'32.99""E - 47°3'15.01""N , 5°47'30.98""E - 46°54'33.98""N , 6°0'0""E - 46°47'10""N , 6°0'56.02""E - 46°42'50""N , 5°52'41.02""E - 46°33'41""N , 5°21'15.98""E - 46°24'32""N , 5°27'34.99""E - 46°27'50""N , 5°44'49.99""E - 46°37'31.01""N , 6°0'24.98""E - 46°45'32""N , 6°15'59""E - 46°58'12""N , 6°15'0""E - 47°9'55.01""N , 5°58'32.99""E"
R45N2;ARDENNES;800ft AGL;2400ft AGL;7;Non;"49°34'28.99""N , 4°41'42""E - 49°28'40.01""N , 4°35'10""E - 49°22'40.01""N , 4°40'0.01""E - 49°19'0.01""N , 4°46'30""E - 49°22'9.98""N , 5°5'30.01""E - 49°29'49.99""N , 5°13'41.99""E - 49°34'28.99""N , 4°41'42""E"
R45N3;LUXEMBOURG;800ft AGL;2700ft AGL;15;Non;"49°30'0""N , 6°13'0.01""E - 49°27'10.01""N , 6°6'2.99""E - 49°27'10.01""N , 6°2'44.02""E - 49°27'10.01""N , 5°58'48""E - 49°27'10.01""N , 5°31'59.99""E - 49°29'49.99""N , 5°13'41.99""E - 49°22'9.98""N , 5°5'30.01""E - 49°22'9.98""N , 5°12'0""E - 49°22'16""N , 6°6'0""E - 49°25'0.01""N , 6°13'0.01""E - 49°22'21""N , 6°23'29""E - 49°22'45.01""N , 6°31'7""E - 49°27'20.02""N , 6°28'49.01""E - 49°27'18""N , 6°22'0.01""E - 49°30'0""N , 6°13'0.01""E"
R45N4;MOSELLE;800ft AGL;3800ft AMSL;5;Non;"49°22'45.01""N , 6°31'7""E - 49°22'21""N , 6°23'29""E - 48°40'18.01""N , 6°33'47.99""E - 48°41'3.01""N , 6°41'16.01""E - 49°22'45.01""N , 6°31'7""E"
R45N5.1;MEUSE NORD;800ft AGL;2700ft AGL;7;Non;"49°22'9.98""N , 5°5'30.01""E - 49°19'0.01""N , 4°46'30""E - 49°13'14.99""N , 4°59'55""E - 48°52'55.99""N , 5°14'7.01""E - 48°43'59.99""N , 5°17'3.98""E - 48°46'22.01""N , 5°26'46""E - 49°22'9.98""N , 5°5'30.01""E"
R45N5.2;MEUSE SUD;800ft AGL;2700ft AGL;8;Non;"48°46'22.01""N , 5°26'46""E - 48°43'59.99""N , 5°17'3.98""E - 48°41'35.99""N , 5°17'51""E - 48°17'48.98""N , 5°31'52""E - 48°15'11.02""N , 5°33'18""E - 48°11'47""N , 5°36'20.99""E - 48°10'50.99""N , 5°47'21.98""E - 48°46'22.01""N , 5°26'46""E"
R45NS;DAMBLAIN;800ft AGL;2800ft AGL;6;Non;"48°11'47""N , 5°36'20.99""E - 48°5'21.98""N , 5°42'5""E - 48°0'37.01""N , 5°52'41.02""E - 48°5'7.01""N , 5°59'21.98""E - 48°10'50.99""N , 5°47'21.98""E - 48°11'47""N , 5°36'20.99""E"
R45S1;FRANCHE-COMTE;800ft AGL;4500ft AMSL;9;Non;"47°58'30""N , 6°2'30.01""E - 48°4'55.99""N , 6°12'56.02""E - 48°8'2""N , 6°9'42.98""E - 48°9'40""N , 6°5'17.02""E - 48°10'50.99""N , 5°52'36.01""E - 48°10'32.02""N , 5°48'2.99""E - 48°5'21.98""N , 5°42'5""E - 48°0'37.01""N , 5°52'41.02""E - 47°58'30""N , 6°2'30.01""E"
R45S2;LANGRES;800ft AGL;FL065;12;Non;"48°0'37.01""N , 5°52'41.02""E - 48°5'21.98""N , 5°42'5""E - 47°52'27.98""N , 5°12'0""E - 47°43'59.99""N , 4°15'0""E - 47°29'17.02""N , 3°59'43.01""E - 47°23'7.01""N , 4°5'48.01""E - 47°21'27""N , 4°14'48.98""E - 47°29'57.01""N , 4°16'49.01""E - 47°38'3.98""N , 4°37'19.99""E - 47°43'28.99""N , 5°18'38.99""E - 47°54'27""N , 5°44'24""E - 48°0'37.01""N , 5°52'41.02""E"
R45S3;YONNE;800ft AGL;FL065;12;Non;"47°12'43.99""N , 4°21'10.01""E - 47°11'49.99""N , 4°10'59.02""E - 47°21'27""N , 4°14'48.98""E - 47°23'7.01""N , 4°5'48.01""E - 47°29'17.02""N , 3°59'43.01""E - 47°21'59""N , 3°36'10.01""E - 47°4'37.99""N , 3°40'0.01""E - 47°0'47.02""N , 4°16'41.99""E - 46°45'6.98""N , 4°31'44""E - 46°48'55.01""N , 4°41'49.99""E - 47°8'11""N , 4°41'4.99""E - 47°12'43.99""N , 4°21'10.01""E"
R45S4;MACONNAIS OUEST;800ft AGL;FL065;7;Non;"46°24'10.01""N , 4°49'5.02""E - 46°33'55.01""N , 4°50'38""E - 46°48'55.01""N , 4°41'49.99""E - 46°45'6.98""N , 4°31'44""E - 46°34'0.01""N , 4°39'20.02""E - 46°24'10.01""N , 4°42'54""E - 46°24'10.01""N , 4°49'5.02""E"
R45S5;MACONNAIS CENTRE;800ft AGL;5000ft AMSL;9;Non;"46°24'10.01""N , 4°49'5.02""E - 46°24'10.01""N , 5°2'44.99""E - 46°23'7.01""N , 5°20'13.99""E - 46°24'32""N , 5°27'34.99""E - 46°33'41""N , 5°21'15.98""E - 46°33'25.99""N , 5°20'24""E - 46°31'32.99""N , 4°52'1.99""E - 46°33'55.01""N , 4°50'38""E - 46°24'10.01""N , 4°49'5.02""E"
R45S6.1;MACONNAIS NORD EST;800ft AGL;FL085;9;Non;"47°9'55.01""N , 5°58'32.99""E - 47°3'15.01""N , 5°47'30.98""E - 46°54'33.98""N , 6°0'0""E - 46°47'10""N , 6°0'56.02""E - 46°42'50""N , 5°52'41.02""E - 46°37'31.01""N , 6°0'24.98""E - 46°45'32""N , 6°15'59""E - 46°58'12""N , 6°15'0""E - 47°9'55.01""N , 5°58'32.99""E"
R45S6.2;MACONNAIS SUD EST;800ft AGL;6700ft AMSL;6;Non;"46°42'50""N , 5°52'41.02""E - 46°33'41""N , 5°21'15.98""E - 46°24'32""N , 5°27'34.99""E - 46°27'50""N , 5°44'49.99""E - 46°37'31.01""N , 6°0'24.98""E - 46°42'50""N , 5°52'41.02""E"
R45S7;JURA;800ft AGL;FL065;8;Non;"47°9'55.01""N , 5°58'32.99""E - 47°14'13.99""N , 5°52'58.01""E - 47°33'46.01""N , 6°31'48""E - 47°37'54.98""N , 6°16'36.01""E - 47°19'9.01""N , 5°36'42.01""E - 47°14'22.99""N , 5°32'44.99""E - 47°3'15.01""N , 5°47'30.98""E - 47°9'55.01""N , 5°58'32.99""E"
R46A;;800ft AGL;2100ft AMSL;12;Non;"44°32'15""N , 0°9'46.01""W - 44°19'59.99""N , 0°7'0.01""E - 44°10'0.01""N , 0°7'0.01""W - 44°6'29.99""N , 0°6'0""W - 44°6'51.01""N , 0°4'0.01""E - 44°17'38""N , 0°18'0""E - 44°16'44""N , 0°28'31.01""E - 44°16'28.99""N , 0°30'0""E - 44°23'55""N , 0°30'0""E - 44°27'41""N , 0°8'1""E - 44°30'55.01""N , 0°4'34""W - 44°32'15""N , 0°9'46.01""W"
R46B;;800ft AGL;2400ft AMSL;9;Non;"44°23'55""N , 0°30'0""E - 44°16'28.99""N , 0°30'0""E - 44°13'49.01""N , 0°45'34.99""E - 44°11'49.99""N , 0°54'34.99""E - 44°5'30.01""N , 1°32'20""E - 44°12'29.99""N , 1°34'0.01""E - 44°18'6.01""N , 1°1'18.98""E - 44°20'49.99""N , 0°47'53.02""E - 44°23'55""N , 0°30'0""E"
R46C;;800ft AGL;3400ft AMSL;7;Non;"44°12'29.99""N , 1°34'0.01""E - 44°5'30.01""N , 1°32'20""E - 44°0'40""N , 2°22'30""E - 43°57'40""N , 2°28'30""E - 44°3'29.99""N , 2°36'20.02""E - 44°8'10""N , 2°25'0.01""E - 44°12'29.99""N , 1°34'0.01""E"
R46D;;800ft AGL;5400ft AMSL;8;Non;"43°57'40""N , 2°28'30""E - 43°30'56.02""N , 2°40'44""E - 43°25'35""N , 2°42'29.02""E - 43°27'38.02""N , 2°52'7""E - 43°33'0""N , 2°50'20""E - 43°54'0""N , 2°40'59.99""E - 44°3'29.99""N , 2°36'20.02""E - 43°57'40""N , 2°28'30""E"
R46E1;;800ft AGL;4700ft AMSL;5;Non;"43°27'38.02""N , 2°52'7""E - 43°25'35""N , 2°42'29.02""E - 43°16'54.98""N , 2°45'29.99""E - 43°19'0.01""N , 2°55'0.01""E - 43°27'38.02""N , 2°52'7""E"
R46E2;;800ft AGL;2800ft AMSL;9;Non;"43°16'54.98""N , 2°45'29.99""E - 43°7'48""N , 2°48'27""E - 43°0'7.99""N , 2°55'18.01""E - 43°0'0""N , 2°58'0.01""E - 43°2'15""N , 3°9'38.99""E - 43°9'43.99""N , 3°8'30.01""E - 43°7'36.01""N , 2°58'48""E - 43°19'0.01""N , 2°55'0.01""E - 43°16'54.98""N , 2°45'29.99""E"
R46F1;;800ft AGL;4000ft AMSL;6;Non;"43°8'55""N , 2°11'20""E - 43°1'59.99""N , 2°16'59.99""E - 43°0'7.99""N , 2°55'18.01""E - 43°7'48""N , 2°48'27""E - 43°7'55.99""N , 2°24'9""E - 43°8'55""N , 2°11'20""E"
R46F2;;800ft AGL;3400ft AMSL;8;Non;"43°1'59.99""N , 2°16'59.99""E - 43°8'55""N , 2°11'20""E - 43°9'20.99""N , 2°5'52.01""E - 43°16'0.01""N , 1°39'0""E - 43°16'39""N , 1°28'59.99""E - 43°9'24.01""N , 1°28'59.99""E - 43°9'0""N , 1°38'20""E - 43°1'59.99""N , 2°16'59.99""E"
R46F3;;800ft AGL;3300ft AMSL;7;Non;"43°16'39""N , 1°28'59.99""E - 43°17'52.01""N , 0°58'50.02""E - 43°28'13.01""N , 0°36'41""E - 43°19'50.02""N , 0°33'24.98""E - 43°10'59.99""N , 0°50'30.01""E - 43°9'24.01""N , 1°28'59.99""E - 43°16'39""N , 1°28'59.99""E"
R46G;;800ft AGL;2500ft AMSL;7;Non;"43°45'0""N , 0°1'0.01""E - 43°34'59.99""N , 0°4'0.01""E - 43°19'50.02""N , 0°33'24.98""E - 43°28'13.01""N , 0°36'41""E - 43°37'59.99""N , 0°15'29.99""E - 43°45'20.02""N , 0°13'40.01""E - 43°45'0""N , 0°1'0.01""E"
